,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kuandian,21,CN,1586630821,56,40.73,124.78,41.85,5.86
1,Airai,49,TL,1586630823,72,-8.93,125.41,60.96,1.48
2,Chumikan,2,RU,1586630824,87,54.72,135.31,33.94,7.65
3,Nikolskoye,20,RU,1586630825,86,59.7,30.79,33.8,4.47
4,Ushuaia,75,AR,1586630604,77,-54.8,-68.3,46.4,24.16
5,Port Moresby,40,PG,1586630737,94,-9.44,147.18,77.0,3.36
6,Alta Floresta,54,BR,1586630829,65,-9.88,-56.09,86.52,1.34
7,Ostrovnoy,73,RU,1586630831,94,68.05,39.51,16.47,11.01
8,Avarua,65,CK,1586630832,94,-21.21,-159.78,80.6,4.7
9,Hermanus,100,ZA,1586630833,79,-34.42,19.23,69.01,5.99
10,Sikasso,57,ML,1586630834,19,10.92,-7.0,98.17,3.33
11,Lanzhou,1,CN,1586630836,30,36.06,103.79,48.0,6.71
12,Maragogi,53,BR,1586630837,61,-9.01,-35.22,86.18,10.8
13,New Norfolk,90,AU,1586630838,62,-42.78,147.06,51.8,10.29
14,Busselton,100,AU,1586630840,54,-33.65,115.33,69.01,6.13
15,Wilmington,1,US,1586630745,25,34.23,-77.94,69.01,5.82
16,Kavaratti,1,IN,1586630842,68,10.57,72.64,85.01,4.03
17,Gubkinskiy,100,RU,1586630844,95,64.43,76.5,35.67,17.0
18,Kiryat Gat,20,IL,1586630845,77,31.61,34.76,60.8,1.12
19,San Quintín,32,MX,1586630846,64,30.48,-115.95,61.88,13.71
20,San Patricio,40,MX,1586630848,74,19.22,-104.7,86.0,11.41
21,Atuona,97,PF,1586630849,72,-9.8,-139.03,82.27,7.99
22,Qūchān,80,IR,1586630850,56,37.11,58.51,52.14,3.09
23,Disna,18,BY,1586630852,69,55.57,28.2,37.51,5.61
24,São Filipe,10,CV,1586630853,69,14.9,-24.5,77.7,11.54
25,Garmsār,91,IR,1586630824,46,35.22,52.34,60.64,2.51
26,Khatanga,64,RU,1586630856,92,71.97,102.5,0.52,10.36
27,Vaini,20,TO,1586630857,93,-21.2,-175.2,64.4,2.24
28,Mataura,100,NZ,1586630858,76,-46.19,168.86,53.01,4.0
29,Mahébourg,40,MU,1586630860,83,-20.41,57.7,78.01,10.29
30,Kapaa,90,US,1586630861,73,22.08,-159.32,73.99,9.17
31,Obo,77,CF,1586630837,71,5.4,26.49,74.25,2.68
32,Minsk,0,BY,1586630790,62,53.9,27.57,32.0,4.47
33,Chokurdakh,100,RU,1586630865,97,70.63,147.92,27.16,14.36
34,Bilma,99,NE,1586630866,12,18.69,12.92,84.92,5.66
35,Beyneu,44,KZ,1586630867,45,45.32,55.2,54.27,5.26
36,Benguela,18,AO,1586630869,80,-12.58,13.41,79.75,3.42
37,Talnakh,75,RU,1586630870,92,69.49,88.4,30.2,31.32
38,Maceió,20,BR,1586630871,66,-9.67,-35.74,87.8,13.87
39,Cape Town,40,ZA,1586630748,88,-33.93,18.42,64.99,17.22
40,Dikson,100,RU,1586630874,92,73.51,80.55,13.53,5.86
41,Port Hedland,0,AU,1586630876,83,-20.32,118.57,73.4,5.82
42,Port Alfred,100,ZA,1586630877,89,-33.59,26.89,69.01,5.99
43,Kaeo,27,NZ,1586630878,94,-35.1,173.78,55.0,9.26
44,Hilo,1,US,1586630880,73,19.73,-155.09,77.0,3.36
45,Bambous Virieux,40,MU,1586630881,83,-20.34,57.76,78.01,10.29
46,Hobart,90,AU,1586630882,62,-42.88,147.33,51.8,10.29
47,Bluff,100,NZ,1586630883,76,-46.6,168.33,53.01,4.0
48,Puerto Ayora,75,EC,1586630885,70,-0.74,-90.35,86.0,11.41
49,Naze,75,JP,1586630886,82,28.37,129.48,68.0,16.11
50,Qasigiannguit,75,GL,1586630887,69,68.82,-51.19,33.8,10.29
51,Marystown,62,CA,1586630889,87,47.17,-55.15,34.39,23.4
52,Albany,75,US,1586630890,36,42.6,-73.97,46.99,18.34
53,Hong Kong,40,HK,1586630876,88,22.29,114.16,68.0,9.17
54,Orange,75,US,1586630893,59,33.7,-117.77,66.2,5.82
55,Sāmba,9,IN,1586630894,36,32.57,75.12,73.9,4.05
56,Port Blair,67,IN,1586630895,71,11.67,92.75,82.76,6.69
